LineId,Device,day,month,year,Time,ms,Content,EventId,EventTemplate,ParameterList
11,cup,02,29,2020,07:24:46,947141,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:51996 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:51996', '-> 192.168.10.154:80']"
12,cup,02,29,2020,07:26:40,148371,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:41188 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:41188', '-> 192.168.10.154:80']"
13,cup,02,29,2020,07:28:31,953888,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:52146 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:52146', '-> 192.168.10.154:80']"
14,cup,02,29,2020,07:46:04,388602,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.200:49986 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.200:49986', '-> 192.168.10.154:80']"
15,cup,02,29,2020,08:03:25,256629,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:42430 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:42430', '-> 192.168.10.154:80']"
16,cup,02,29,2020,08:03:47,148340,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:41466 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:41466', '-> 192.168.10.154:80']"
17,cup,02,29,2020,08:10:00,172449,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:42492 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:42492', '-> 192.168.10.154:80']"
18,cup,02,29,2020,08:25:27,019279,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:41764 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:41764', '-> 192.168.10.154:80']"
19,cup,02,29,2020,08:26:19,804846,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:41936 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:41936', '-> 192.168.10.154:80']"
20,cup,02,29,2020,08:57:25,915970,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:42364 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:42364', '-> 192.168.10.154:80']"
21,cup,02,29,2020,08:58:52,853905,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:52770 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:52770', '-> 192.168.10.154:80']"
22,cup,02,29,2020,09:02:45,094755,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:52788 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:52788', '-> 192.168.10.154:80']"
23,cup,02,29,2020,09:11:11,851390,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:52966 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:52966', '-> 192.168.10.154:80']"
24,cup,02,29,2020,09:15:32,024741,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:42690 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:42690', '-> 192.168.10.154:80']"
25,cup,02,29,2020,09:23:25,334814,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:42804 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:42804', '-> 192.168.10.154:80']"
26,cup,02,29,2020,09:27:07,259644,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:42898 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:42898', '-> 192.168.10.154:80']"
27,cup,02,29,2020,09:42:29,463581,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:53394 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:53394', '-> 192.168.10.154:80']"
28,cup,02,29,2020,09:53:36,436389,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:43796 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:43796', '-> 192.168.10.154:80']"
29,cup,02,29,2020,10:01:52,120578,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:44066 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:44066', '-> 192.168.10.154:80']"
30,cup,02,29,2020,10:10:02,492821,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:54366 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:54366', '-> 192.168.10.154:80']"
31,cup,02,29,2020,10:21:58,486574,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.200:50676 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.200:50676', '-> 192.168.10.154:80']"
32,cup,02,29,2020,10:55:19,585794,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.200:50726 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.200:50726', '-> 192.168.10.154:80']"
33,cup,02,29,2020,11:17:57,940297,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:45500 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:45500', '-> 192.168.10.154:80']"
34,cup,02,29,2020,11:40:25,074134,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:59904 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:59904', '-> 192.168.10.154:80']"
35,cup,02,29,2020,11:43:51,144638,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:45726 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:45726', '-> 192.168.10.154:80']"
36,cup,02,29,2020,11:54:06,539532,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:45580 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:45580', '-> 192.168.10.154:80']"
37,cup,02,29,2020,12:01:13,136028,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:60118 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:60118', '-> 192.168.10.154:80']"
38,cup,02,29,2020,12:04:42,329500,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46100 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46100', '-> 192.168.10.154:80']"
39,cup,02,29,2020,12:04:55,677557,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:60162 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:60162', '-> 192.168.10.154:80']"
40,cup,02,29,2020,12:16:05,768098,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:60284 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:60284', '-> 192.168.10.154:80']"
41,cup,02,29,2020,12:22:31,135926,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46204 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46204', '-> 192.168.10.154:80']"
42,cup,02,29,2020,12:23:16,228335,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46228 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46228', '-> 192.168.10.154:80']"
43,cup,02,29,2020,12:44:15,847608,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:60480 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:60480', '-> 192.168.10.154:80']"
44,cup,02,29,2020,12:48:22,222225,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46556 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46556', '-> 192.168.10.154:80']"
45,cup,02,29,2020,12:48:54,759208,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46574 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46574', '-> 192.168.10.154:80']"
46,cup,02,29,2020,12:55:57,700377,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.200:51062 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.200:51062', '-> 192.168.10.154:80']"
47,cup,02,29,2020,12:58:30,932864,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46746 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46746', '-> 192.168.10.154:80']"
48,cup,02,29,2020,12:59:00,860814,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:46768 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:46768', '-> 192.168.10.154:80']"
49,cup,02,29,2020,13:01:15,779632,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:46070 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:46070', '-> 192.168.10.154:80']"
50,cup,02,29,2020,13:12:05,264745,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.200:51140 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.200:51140', '-> 192.168.10.154:80']"
51,cup,02,29,2020,13:21:55,230192,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:47322 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:47322', '-> 192.168.10.154:80']"
52,cup,02,29,2020,13:48:59,865602,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:32978 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:32978', '-> 192.168.10.154:80']"
53,cup,02,29,2020,14:03:42,972707,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:46336 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:46336', '-> 192.168.10.154:80']"
54,cup,02,29,2020,15:02:07,525191,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:47322 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:47322', '-> 192.168.10.154:80']"
55,cup,02,29,2020,15:03:06,288229,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:34288 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:34288', '-> 192.168.10.154:80']"
